Age,Gender,Salary,Department,JobRole,Overtime,Experience,WorkLifeBalance,JobSatisfaction,Attrition
50,Female,92242,Support,Executive,No,4,3,5,Yes
36,Male,31655,Support,Developer,Yes,17,3,3,Yes
29,Female,118738,IT,Lead,Yes,22,4,3,No
42,Male,67907,Support,Associate,Yes,22,1,5,No
40,Male,29449,IT,Manager,No,1,2,5,No
44,Male,44630,Sales,Developer,No,9,4,1,No
32,Female,94658,HR,Manager,Yes,21,4,1,No
32,Male,66371,Sales,Director,Yes,9,1,1,Yes
45,Male,30991,Support,Executive,Yes,2,2,5,No
57,Male,44887,IT,Associate,Yes,23,3,4,No
45,Male,33859,HR,Director,No,13,1,1,No
24,Female,43640,Management,Executive,No,4,4,2,No
43,Female,68339,HR,Director,Yes,23,4,4,No
23,Male,111068,HR,Executive,Yes,22,4,1,No
45,Male,124765,Support,Executive,No,12,4,2,Yes
51,Female,73235,Sales,Director,Yes,23,3,5,No
59,Female,124300,Sales,Developer,Yes,16,2,2,No
23,Female,123156,Management,Associate,No,5,3,1,No
42,Male,22512,Support,Lead,Yes,12,4,3,Yes
54,Female,100982,HR,Manager,No,11,2,3,Yes
33,Male,41912,Sales,Executive,Yes,2,1,2,Yes
43,Female,119567,Sales,Associate,Yes,15,1,5,No
46,Female,140639,IT,Manager,No,4,3,4,Yes
48,Male,55515,HR,Associate,No,1,1,3,No
49,Female,35416,Support,Director,No,10,4,4,No
37,Male,92816,Sales,Manager,No,3,2,5,No
36,Female,96510,Support,Associate,No,21,2,3,No
24,Male,135781,HR,Lead,No,0,3,5,No
58,Female,63746,HR,Associate,Yes,12,2,1,Yes
28,Female,63775,Sales,Associate,Yes,17,1,4,No
42,Male,122067,Management,Executive,No,15,3,1,No
30,Male,142039,Support,Executive,Yes,1,4,5,No
39,Male,32227,Support,Executive,Yes,8,3,5,No
25,Male,33031,IT,Director,No,11,1,2,No
46,Female,128819,HR,Associate,Yes,4,1,2,Yes
35,Female,53000,HR,Lead,No,4,1,3,No
30,Female,71253,Sales,Manager,No,21,3,1,No
47,Female,130848,Sales,Executive,No,12,3,1,No
23,Female,87564,Sales,Developer,No,15,2,5,Yes
41,Female,140921,IT,Associate,No,18,3,2,No
49,Male,115969,Management,Lead,No,8,4,4,Yes
28,Female,142614,Sales,Lead,No,15,3,5,No
29,Female,38313,Sales,Executive,No,18,2,1,Yes
56,Male,134326,Sales,Director,Yes,3,4,1,Yes
35,Female,95186,IT,Executive,No,14,4,5,No
38,Female,111760,Support,Director,Yes,8,3,5,Yes
57,Female,77751,Management,Developer,No,15,2,5,No
25,Male,72492,Support,Developer,Yes,23,2,1,Yes
23,Male,50364,HR,Executive,No,5,4,4,No
27,Female,38361,HR,Manager,No,7,4,1,No
25,Male,87949,Sales,Executive,Yes,0,2,5,No
50,Female,126330,Support,Executive,Yes,13,1,2,No
39,Female,51070,IT,Lead,No,3,1,4,No
47,Female,123722,Management,Executive,No,9,3,3,No
55,Male,42409,Support,Executive,Yes,15,2,1,Yes
31,Female,49854,Support,Executive,No,3,4,4,No
57,Female,116742,Management,Manager,Yes,1,1,4,No
35,Female,139625,Support,Lead,No,1,4,5,Yes
52,Female,49655,Support,Associate,No,12,4,4,Yes
36,Female,29952,Management,Associate,Yes,10,2,1,Yes
29,Male,56365,IT,Associate,No,9,4,2,No
35,Female,103298,Management,Associate,No,24,2,4,No
44,Male,86156,Sales,Lead,No,5,4,1,No
42,Female,119233,Sales,Executive,Yes,6,1,5,Yes
37,Male,141232,Sales,Associate,No,14,2,4,No
39,Female,76724,Sales,Executive,Yes,19,4,3,No
45,Female,35455,HR,Associate,Yes,18,3,3,Yes
47,Male,107746,IT,Manager,Yes,2,3,2,No
46,Male,67673,HR,Executive,Yes,20,3,5,Yes
50,Female,20974,Support,Lead,No,13,3,1,No
36,Male,32679,Support,Director,Yes,21,1,4,No
22,Male,81791,Management,Manager,Yes,1,1,1,Yes
46,Female,47429,Sales,Director,No,22,3,3,No
28,Female,38073,Management,Manager,No,15,4,5,Yes
30,Female,90207,Support,Lead,Yes,22,1,1,Yes
45,Female,50365,Sales,Manager,Yes,16,3,4,Yes
22,Female,141608,IT,Executive,No,14,1,5,No
29,Male,75928,Support,Developer,No,12,1,4,No
45,Female,131903,Management,Developer,No,11,4,4,No
32,Male,131114,Management,Associate,Yes,6,4,5,Yes
38,Female,94453,Support,Associate,Yes,19,2,5,No
29,Female,126657,HR,Executive,Yes,19,4,4,Yes
56,Male,27784,IT,Lead,No,2,3,3,No
56,Female,132529,Support,Executive,Yes,8,2,4,No
54,Male,118962,Support,Associate,Yes,2,3,5,No
26,Male,121201,Management,Manager,No,15,4,2,No
49,Male,140356,Sales,Director,Yes,19,4,1,Yes
28,Female,140913,Sales,Executive,No,2,1,4,No
30,Female,147499,Sales,Executive,No,7,3,1,No
29,Female,32291,Management,Lead,No,7,2,4,No
33,Female,104462,Sales,Associate,No,23,4,4,Yes
55,Female,46154,Support,Executive,Yes,14,2,2,Yes
54,Female,146874,HR,Manager,Yes,4,4,5,No
44,Male,45650,HR,Director,No,12,4,3,Yes
45,Female,131876,HR,Manager,Yes,14,1,5,No
58,Female,88741,Sales,Developer,Yes,6,2,1,Yes
56,Female,122348,HR,Associate,No,11,4,1,No
43,Female,115830,Sales,Manager,Yes,2,4,4,No
48,Male,56201,Support,Lead,No,7,1,5,No
56,Male,59479,Support,Director,Yes,9,4,2,No
22,Male,92920,Management,Associate,Yes,1,1,3,No
56,Male,102797,Management,Manager,No,7,1,5,Yes
58,Male,70243,IT,Executive,No,21,1,4,No
35,Female,88595,Support,Associate,No,17,4,1,No
24,Male,51734,Sales,Manager,Yes,11,1,5,Yes
22,Male,108927,IT,Executive,Yes,21,2,1,No
26,Female,101451,Support,Developer,Yes,17,2,4,No
47,Female,139950,Sales,Director,No,18,2,1,Yes
35,Male,125817,Support,Associate,Yes,4,2,4,Yes
48,Female,132169,Support,Associate,No,15,1,3,No
30,Female,119978,Sales,Manager,No,16,3,2,No
36,Male,62568,Support,Developer,No,8,4,1,No
36,Female,137514,Support,Lead,Yes,9,4,5,No
47,Male,45793,Support,Manager,No,18,3,3,Yes
34,Male,72204,Management,Manager,Yes,11,3,2,No
53,Female,66746,HR,Lead,No,0,4,5,Yes
53,Male,51989,Support,Lead,No,21,4,5,Yes
25,Male,69465,Sales,Lead,Yes,16,3,4,No
51,Female,110841,Support,Director,No,2,2,2,No
58,Female,81383,Management,Lead,Yes,6,1,5,Yes
44,Female,36767,Management,Lead,No,19,4,5,Yes
36,Female,58652,Support,Executive,Yes,8,4,5,Yes
50,Male,103732,IT,Executive,No,22,4,3,Yes
57,Female,104244,HR,Lead,No,4,2,2,No
34,Female,33383,Sales,Director,No,8,2,4,Yes
53,Male,90784,Sales,Director,Yes,18,4,3,No
28,Male,121733,Sales,Developer,No,10,2,3,No
43,Male,80089,Sales,Director,No,13,4,3,No
49,Male,148524,Management,Developer,Yes,13,1,4,No
23,Female,46440,HR,Lead,Yes,7,2,4,No
27,Female,72443,Support,Director,Yes,23,1,3,No
49,Male,76325,Support,Executive,Yes,19,3,3,No
49,Male,106766,IT,Developer,No,0,4,1,No
41,Male,115190,Support,Executive,No,3,2,4,Yes
51,Male,75919,HR,Manager,No,15,1,5,Yes
32,Female,36611,Support,Executive,No,24,2,2,No
49,Male,83483,Management,Lead,No,0,3,2,Yes
46,Female,42457,Support,Director,Yes,18,1,2,Yes
54,Male,30256,Sales,Director,No,23,3,3,No
22,Female,74856,Sales,Associate,Yes,2,3,4,Yes
48,Female,126507,Sales,Lead,No,1,1,1,No
34,Female,60533,Sales,Manager,No,16,2,1,No
24,Female,119826,Management,Director,Yes,24,1,2,Yes
27,Male,118995,Management,Executive,Yes,10,3,5,Yes
29,Female,48281,Management,Developer,No,2,4,5,Yes
48,Male,87275,Support,Lead,No,6,1,5,No
30,Female,21525,Sales,Director,No,9,4,5,No
58,Female,36453,IT,Developer,Yes,2,2,1,Yes
54,Male,26251,IT,Executive,No,7,1,1,No
45,Male,128744,Sales,Director,Yes,24,4,4,No
36,Female,39507,HR,Manager,Yes,23,3,1,Yes
53,Female,99396,Support,Lead,Yes,4,2,4,No
53,Male,106644,IT,Developer,Yes,9,4,4,No
45,Female,47906,Management,Director,Yes,11,2,3,Yes
33,Male,93185,HR,Lead,Yes,17,1,1,No
23,Male,119591,Management,Director,Yes,5,4,5,Yes
24,Male,33193,HR,Lead,No,7,1,2,No
58,Female,116558,HR,Developer,Yes,17,1,4,No
38,Female,117192,Support,Manager,Yes,5,3,2,Yes
23,Male,127071,Management,Lead,No,22,4,5,No
23,Male,101449,Management,Manager,No,8,4,4,No
49,Male,84042,IT,Manager,Yes,15,4,4,No
44,Male,79516,Sales,Executive,No,10,2,1,No
58,Female,101165,Sales,Director,No,24,2,3,Yes
53,Male,50692,IT,Developer,Yes,1,2,2,No
54,Female,90490,HR,Executive,No,16,2,5,No
22,Male,53512,IT,Associate,Yes,12,4,3,No
40,Female,30719,IT,Director,No,6,4,3,Yes
23,Female,75427,Management,Executive,Yes,21,2,1,No
47,Female,47649,IT,Lead,No,9,3,4,No
53,Female,32402,HR,Lead,Yes,12,4,5,Yes
27,Female,122880,Sales,Lead,Yes,9,2,3,No
53,Male,139764,Support,Associate,Yes,3,1,3,Yes
25,Male,29216,IT,Manager,Yes,10,3,2,Yes
32,Female,134667,IT,Lead,No,8,4,5,No
38,Male,51050,Management,Director,Yes,15,3,5,No
59,Male,115808,Management,Director,No,16,2,3,No
45,Male,70093,IT,Executive,No,22,1,4,No
26,Male,25050,IT,Manager,Yes,4,1,5,Yes
55,Male,66716,HR,Executive,Yes,4,2,5,Yes
27,Male,135455,Sales,Executive,No,5,3,2,Yes
43,Male,22438,Sales,Lead,No,1,4,2,No
32,Female,143713,Support,Executive,Yes,13,2,2,No
37,Male,128686,Sales,Associate,Yes,10,3,4,No
54,Male,67431,Support,Director,Yes,18,2,4,Yes
30,Male,132373,Management,Director,Yes,10,1,5,Yes
27,Female,127123,Support,Director,No,24,4,4,No
37,Female,36760,Support,Manager,Yes,19,2,2,Yes
50,Male,97614,Sales,Lead,Yes,5,1,4,No
24,Female,36473,IT,Lead,No,12,2,5,No
41,Female,63815,Management,Executive,Yes,18,1,3,No
57,Male,82460,HR,Executive,No,2,1,1,Yes
40,Female,29257,Support,Developer,Yes,24,4,4,No
47,Male,107986,Support,Developer,Yes,15,1,3,No
24,Female,45634,Support,Lead,Yes,8,4,5,Yes
40,Male,80403,IT,Lead,No,2,4,3,No
41,Female,66573,HR,Executive,Yes,18,1,3,No
53,Male,48648,Sales,Associate,No,14,1,3,No
28,Male,112712,Management,Associate,Yes,21,4,2,No
54,Female,68980,IT,Director,Yes,12,2,4,Yes
39,Male,147099,HR,Executive,Yes,16,2,3,No
22,Male,30296,Management,Developer,No,20,2,5,No
32,Female,80197,Sales,Developer,Yes,24,3,1,Yes
49,Male,41959,Management,Associate,Yes,24,1,1,Yes
46,Male,34570,Support,Lead,Yes,7,4,1,Yes
44,Female,55423,Support,Executive,No,21,3,2,No
52,Male,100263,IT,Director,No,13,1,4,Yes
51,Female,37899,Management,Director,Yes,8,4,1,Yes
56,Male,55785,Support,Lead,No,2,1,2,No
28,Female,132446,IT,Developer,No,8,2,5,No
